Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
 7707270363677	GUANTES LATES	$0	$1.000	$0	N/A	0.000	- Sin Departamento -
 7702189045379	GUDIZ VAINILLA FRITO LAY 28G	$869	$1.300	$0	N/A	0.000	0
 6922235800566	GUMMY BALL STRAWBERRY	$0	$0	$0	0,00	0.000	0
 GUSANITOS	GUSANITOS UNIDAD	$0	$100	$0	N/A	0.000	- Sin Departamento -
 7702028021649	GUSTOSITA MEDIA LIBRA 250 GR	$0	$0	$0	0,00	0.000	0
 7702028021595	GUSTOSITA X220 G	$0	$0	$0	0,00	0.000	0
 7702028021601	GUSTOSITA X450G	$0	$0	$0	0,00	0.000	0
 7702028079756	GUSTOSITA  X45G	$0	$1.000	$0	N/A	0.000	0
 7622202232732	Galleta Ritz 	$0	$1.800	$0	N/A	0.000	- Sin Departamento -
 7702025147915	Galletas Ducales 3 Tacos	$0	$9.300	$0	N/A	0.000	- Sin Departamento -
 7702057803254	Gastrofast	$0	$3.300	$0	N/A	0.000	- Sin Departamento -
 7702057805548	Gastrofast	$0	$3.300	$0	N/A	0.000	- Sin Departamento -
 7702006204057	Gel Ego 25ml	$0	$1.200	$0	N/A	0.000	- Sin Departamento -
 7703133030175	Golpe Con Todo Limon	$0	$8.000	$0	N/A	0.000	- Sin Departamento -
 7702011162687	Grissly Postobon 67g	$0	$1.800	$0	N/A	0.000	- Sin Departamento -
 GUANTES	Guantes 	$0	$3.000	$0	N/A	0.000	- Sin Departamento -
 7702037567961	Guantes Talla 7	$0	$4.000	$0	N/A	0.000	- Sin Departamento -
 7702037568005	Guantes Talla 9	$0	$4.000	$0	N/A	0.000	- Sin Departamento -
 7702090039986	H20 LIMA LIMON X 1.5L	$0	$0	$0	0,00	0.000	0
 7702090069341	H20 LIMONADA COCO X 250 ML	$0	$0	$0	0,00	0.000	0
 7702090044584	H20 LIMONATA X 1.5L	$0	$0	$0	0,00	0.000	0
 7702192702405	H2O LIMON LIMONATA	$0	$2.500	$0	N/A	0.000	- Sin Departamento -
 7702133445095	HALLS 100 PEPA CHERRY ROJO 100U	$0	$0	$0	0,00	0.000	0
 7622210427045	HALLS BARRA CHERRY LYPTUS X 25 G	$0	$2.000	$0	N/A	0.000	0
 7622202015212	HALLS BARRA EXTRASTRONG NEGRO X 25 G	$0	$2.000	$0	N/A	0.000	0
 7622210427199	HALLS BARRA FRUIT MIX X 25 G	$0	$2.000	$0	N/A	0.000	0
 7622201776459	HALLS BARRA LIMON MIEL X 25 G	$0	$2.000	$0	N/A	0.000	0
 7622210427137	HALLS BARRA MORA AZUL X 25 G	$0	$2.000	$0	N/A	0.000	0
 7702133815782	HALLS BARRA YERBABUENA-LYPTUS X 25 G	$0	$2.000	$0	N/A	0.000	0
 7622210427076	HALLS BARRA  MENTHOL  X 25 G	$0	$2.000	$0	N/A	0.000	0
 7622210670724	HALLS PEPA YERBABUENA X110	$0	$17.000	$0	N/A	0.000	0
 HALLS	HALLS UNIDAD	$0	$300	$0	N/A	0.000	- Sin Departamento -
 7702084137537	HARINA DE MAIZ AMARILLO X 1KG	$3.249	$3.700	$0	N/A	0.000	0
 7702020011228	HARINA DE TRIGO HAZ DE OROS 500 GR	$0	$2.500	$0	N/A	0.000	0
 7707237413902	HARINA DE TRIGO NIEVE 500 GR	$0	$2.500	$0	N/A	0.000	0
 7702020011327	HARINA HAZ DE OROS HORNEAR X 500G	$0	$3.000	$0	N/A	0.000	0
 7702084137520	HARINA PAN 1KL	$0	$3.900	$0	N/A	0.000	- Sin Departamento -
 7702084137575	HARINA PAN MAIZ AMARILLO X 500 GR	$1.999	$2.600	$0	N/A	0.000	0
 7707362397672	HATSU FLOR DE LOTO X 400ML	$0	$0	$0	0,00	0.000	0
 7707362390079	HATSU MANGOSTINO X 400ML	$0	$0	$0	0,00	0.000	0
 7707362390086	HATSY TEA  ROJO X 400 ML	$0	$5.000	$0	N/A	0.000	- Sin Departamento -
 27500435002459	HEAD Y SHOULDERS 2EN1 SUAVE Y MANEJABLE	$0	$0	$0	0,00	0.000	0
 7500435247696	HEAD Y SHOULDERS MENTA EXTRA REFRESCANTE	$0	$1.200	$0	N/A	0.000	0
 7500435126601	HEAD Y SHOULDERS X33ML	$0	$1.800	$0	N/A	0.000	0
 7702005601970	HEETS AMBER SELECTION	$0	$11.000	$0	N/A	0.000	0
 7707430878386	HEINEKEN 269 	$0	$3.500	$0	N/A	0.000	- Sin Departamento -
 7702402059091	HELADO CACERO  COCO	$0	$2.700	$0	N/A	0.000	- Sin Departamento -
 7702402058780	HELADO NUBE COLORIDA 	$0	$3.200	$0	N/A	0.000	- Sin Departamento -
 7702402059510	HELADO TRES LECHES	$0	$3.500	$0	N/A	0.000	- Sin Departamento -
 7702049170005	HIDRA TAO COCO LIMON	$4.496	$6.500	$0	N/A	0.000	0
 7702049170067	HIDRA TAO MARACUYA	$4.496	$6.500	$0	N/A	0.000	0
 7702049170012	HIDRA TAO MORA AZUL	$4.496	$6.500	$0	N/A	0.000	0
 7702049170029	HIDRA TAO SANDIA CEREZA	$4.496	$6.500	$0	N/A	0.000	0
 7702354959302	HIDRALYTE MARACUYA	$0	$3.600	$0	N/A	0.000	- Sin Departamento -
 7702354959333	HIDRALYTE MORA	$0	$4.000	$0	N/A	0.000	- Sin Departamento -
 7702049170043	HIDRATAO NARANJA PIÑA 	$4.496	$6.500	$0	N/A	0.000	- Sin Departamento -
 7702090038095	HIT FRUTOS TROPICALES X 1L	$0	$0	$0	0,00	0.000	0
 7702090038071	HIT MANGO X 1L	$0	$0	$0	0,00	0.000	0
 7707133074405	HIT MSNGO 300 ML	$0	$2.000	$0	N/A	0.000	- Sin Departamento -
 7707133044033	HIT NARANJA PIÑA	$0	$3.000	$0	N/A	0.000	- Sin Departamento -
 7707133075655	HIT NARANJA PIÑA X200ML	$0	$1.700	$0	N/A	0.000	- Sin Departamento -
 7637133074412	HIT TROPICAL	$0	$2.000	$0	N/A	0.000	- Sin Departamento -
 7707133074412	HIT TROPICAL	$0	$2.000	$0	N/A	0.000	- Sin Departamento -
 737186408602	HOGAR CLEAN LAVALOZA DESENGRASANTE X1000ML	$0	$0	$0	0,00	0.000	0
 658325853681	HOGAR LCEAN DETERGENTE LIQUIDO X1000ML	$0	$0	$0	0,00	0.000	0
 HUEVOGALLINAUNIDAD	HUEVO GALLINA UNIDAD	$0	$600	$0	N/A	0.000	- Sin Departamento -
 HUEVOPGALLINAX15	HUEVO GALLINA X 15	$0	$9.000	$0	N/A	0.000	- Sin Departamento -
 HUEVOGALLINAX30	HUEVO GALLINA X 30	$0	$18.000	$0	N/A	0.000	- Sin Departamento -
 78602731	HUEVO KINDER 	$0	$7.500	$0	N/A	0.000	- Sin Departamento -
 80050360	HUEVO KINDER DINOSAURIOS 	$0	$7.500	$0	N/A	0.000	- Sin Departamento -
 7702354959319	HYDRALYTE FRESA KIWI	$0	$4.000	$0	N/A	0.000	- Sin Departamento -
 7500435155793	HYS HIDRATACION ACEITE DE COCO	$0	$1.200	$0	N/A	0.000	0
 7702402059114	Helado Casero Guanabana	$0	$2.700	$0	N/A	0.000	- Sin Departamento -
 7702354959326	Hidralyte	$0	$4.000	$0	N/A	0.000	- Sin Departamento -
 7702057113902	IBLUSLASH MIGRAN	$0	$3.000	$0	N/A	0.000	0
 7702057063900	IBUFLASH MIGRAN	$0	$3.000	$0	N/A	0.000	- Sin Departamento -
 7706569000385	IBUPROFENO	$0	$400	$0	N/A	0.000	0
 IBUPROFENO800MG	IBUPROFENO 800 MG	$0	$400	$0	N/A	0.000	- Sin Departamento -
 7702057091125	IBUPROFENO CAPSULA	$0	$1.500	$0	N/A	0.000	- Sin Departamento -
 645667223791	ICOPOR DARNEL 20 BOWLS - PLATO HONDOS WAVE 12 OZ	$0	$5.600	$0	N/A	0.000	0
 645667223784	ICOPOR DARNEL 6 IN / 15.5 CM PLATOS PANDOS X 20	$0	$3.000	$0	N/A	0.000	0
 645667223814	ICOPOR DARNEL 9 IN / 23 CM. 20 PLATES PANDOS	$0	$5.600	$0	N/A	0.000	0
 645667207609	ICOPOR DARNEL PLATOS  PANDOS 3D 	$0	$5.600	$0	N/A	0.000	- Sin Departamento -
 7702458019933	ICOPOR DARNEL REDUX 24 OZ / 710 ML	$0	$12.600	$0	N/A	0.000	0
 INSECTICIDA	INSECTICIDA EL SEBASTIAN 	$0	$10.000	$0	N/A	0.000	- Sin Departamento -
 INSTACREMSOBREUNI	INSTACREM SOBRE UNIDAD	$0	$500	$0	N/A	0.000	- Sin Departamento -
 7702007083125	INSTANTANEO CORONA C Y C 14 GR	$0	$1.000	$0	N/A	0.000	- Sin Departamento -
 7702026177874	INVISIBLE RAPIGEL X10	$0	$5.800	$0	N/A	0.000	0
 7702605101511	Ibuprofeno 800mg	$0	$800	$0	N/A	0.000	- Sin Departamento -
 7702088960469	JABON AVENA CRISTALINO 125 GR	$2.892	$3.400	$0	N/A	0.000	- Sin Departamento -
 7702191163726	JABON COCO VARELA 180 GR	$0	$3.200	$0	N/A	0.000	0
 7709954664131	JABON DE MANOS ESTETLAR	$0	$3.600	$0	N/A	0.000	0
 7702538251307	JABON DESEO ALGAS MARINAS 110 G	$0	$2.400	$0	N/A	0.000	0
 7702538252168	JABON DESEO AVENA 110G	$1.830	$2.400	$0	N/A	0.000	0
 7702538252205	JABON DESEO MANZANA VERDE 110 G	$0	$2.200	$0	N/A	0.000	0
 7702088207564	JABON DISCO LA JOYA X130G	$937	$1.600	$0	N/A	0.000	0
 7702191164600	JABON FAB BARRA FLORAL 300 GR	$0	$3.500	$0	N/A	0.000	0
 7702191164594	JABON FAB BARRA LIMON 300 GR	$0	$3.400	$0	N/A	0.000	0
 7702031414575	JABON JHONSONN	$0	$3.700	$0	N/A	0.000	- Sin Departamento -
 7509546677002	JABON PALMOLIVE GRANADA X 110 G	$0	$3.500	$0	N/A	0.000	0
 7509546690261	JABON PALMOLIVE MANDARINA Y ROMERO X110G	$0	$3.500	$0	N/A	0.000	0
 7509546676920	JABON PALMOLIVE SANDIA Y LECHE X 110G	$0	$0	$0	0,00	0.000	0
 7702010420511	JABON PROTEX	$0	$3.700	$0	N/A	0.000	- Sin Departamento -
 7702010420467	JABON PROTEX	$0	$3.700	$0	N/A	0.000	- Sin Departamento -
 7509546693545	JABON PROTEX HERBAL 110 GR	$0	$3.700	$0	N/A	0.000	0
 7509546693538	JABON PROTEX LIMPIEZA PROFUNDA	$0	$0	$0	0,00	0.000	0
 7702191451342	JABON PURO 180 GR	$0	$2.000	$0	N/A	0.000	- Sin Departamento -
 7702166006003	JABON REY 300 GR	$0	$3.000	$0	N/A	0.000	0
 7702129075244	JAMON SELECCIONADO COLANTA X 225 G	$0	$9.200	$0	N/A	0.000	0
 7701101241042	JAMONETA ZENU X 180 G	$0	$10.500	$0	N/A	0.000	0
 7701101241004	JAMONETA ZENU X 370 G	$0	$17.000	$0	N/A	0.000	0
 7707282990274	JERINGA 5ML	$0	$1.000	$0	N/A	0.000	- Sin Departamento -
 7702007062694	JET BURBUJA X 14 G	$0	$0	$0	0,00	0.000	0
 7702007072556	JET BURBUJAS COPKIES Y CREAM	$0	$13.900	$0	N/A	0.000	0
 7702007080681	JET CHOCOLATE X 25 G	$0	$3.800	$0	N/A	0.000	0
 7702007042276	JET COOKIES AND CREAM X 50 G	$0	$5.800	$0	N/A	0.000	0
 7702402054935	JET HELADO 62 GR	$0	$4.800	$0	N/A	0.000	- Sin Departamento -
 7702007088861	JETT A&A 45G	$0	$5.300	$0	N/A	0.000	- Sin Departamento -
 7702398017877	JMN.IDEAL RICA X 230G	$0	$9.200	$0	N/A	0.000	0
 7701101280638	JMN.SDW. ZENU X 230G	$0	$13.800	$0	N/A	0.000	0
 5000267014609	JOHNIRE WALKER  X 375 ML	$0	$48.000	$0	N/A	0.000	- Sin Departamento -
 7702031414360	JOHNSONS ALOE 110 GR	$0	$3.700	$0	N/A	0.000	- Sin Departamento -
 7702031407621	JOHNSONS JABON ALOE X110G	$0	$3.700	$0	N/A	0.000	0
 7702031414346	JOHNSONS JABON ORIGINAL 110 GR	$0	$3.700	$0	N/A	0.000	- Sin Departamento -
 7702031407362	JOHNSONS JABON ROSAS	$0	$3.700	$0	N/A	0.000	- Sin Departamento -
 7707211633067	JUAN VALDES VAINILLA Y CANELA V8 GR	$0	$2.000	$0	N/A	0.000	- Sin Departamento -
 7707211631452	JUAN VALDEZ CLASICO X50	$0	$16.500	$0	N/A	0.000	- Sin Departamento -
 7707211639380	JUAN VALDEZ VANICANELA 50 GR	$0	$16.500	$0	N/A	0.000	- Sin Departamento -
 7707211638277	JUAN VALDEZ  CAFE X10G	$1.400	$2.000	$0	N/A	0.000	0
 7707133033730	JUGO DE MANGO HIT X1L	$0	$5.000	$0	N/A	0.000	0
 7702535022078	JUGO DEL VALLE X2.5L	$0	$6.000	$0	N/A	0.000	0
 7707133062471	JUGO HIT  MANGO 500 ML	$0	$3.000	$0	N/A	0.000	- Sin Departamento -
 7707133065090	JUGO HIT  NARANJA PIÑA X 1 LT	$0	$5.000	$0	N/A	0.000	- Sin Departamento -
 7707133052670	JUGO HIT FRUTAS TROPICALES 500 ML	$0	$3.000	$0	N/A	0.000	- Sin Departamento -
 7707133055053	JUGO HIT FRUTAS TROPICALES X1L	$0	$5.000	$0	N/A	0.000	0
 7707133025919	JUGO HIT FRUTOS TROPICALES CAJA X 200ML	$0	$1.700	$0	N/A	0.000	0
 7702090029888	JUGO HIT FRUTOS TROPICALES X 500ML	$0	$0	$0	0,00	0.000	0
 7707133085456	JUGO HIT LULO X 500ML	$0	$3.000	$0	N/A	0.000	0
 7702090029864	JUGO HIT MANGO X 500ML	$0	$0	$0	0,00	0.000	0
 7707133083216	JUGO HIT MORA 500ML	$0	$3.000	$0	N/A	0.000	0
 7707133042039	JUGO HIT POSTOBON  MORA X 200 ML	$0	$1.700	$0	N/A	0.000	- Sin Departamento -
 7707133098029	JUGO HIT POSTOBON MANGO X 200 ML	$0	$1.700	$0	N/A	0.000	- Sin Departamento -
 7707133095097	JUGO HIT POSTOBON X 1 LT 	$0	$5.000	$0	N/A	0.000	- Sin Departamento -
 7702001168927	JUGO SOKA CAJA   FRESA  X 200ML	$0	$0	$0	0,00	0.000	0
 7702001168903	JUGO SOKA MANGO CAJA X 200ML	$0	$0	$0	0,00	0.000	0
 7702007039719	JUMBO FLOW BLANCA X 48 G	$0	$3.600	$0	N/A	0.000	0
 7702007080339	JUMBO MANI X 17 G	$0	$1.500	$0	N/A	0.000	0
 7702007086126	JUMBO MINICHIPS X 170G	$0	$14.000	$0	N/A	0.000	0
 7702007088632	JUMBO MIX WHITE	$0	$10.000	$0	N/A	0.000	- Sin Departamento -
 7702007009989	JUMBO MIX X60 G	$0	$5.000	$0	N/A	0.000	0
 7702007088366	JUMBO RYAN CASTRO	$0	$9.000	$0	N/A	0.000	- Sin Departamento -
 7702007085846	JUMBO WAFER  JET X72G	$0	$0	$0	0,00	0.000	0
 7702166006515	Jabon Rey Liquido 2 Lt	$0	$21.500	$0	N/A	0.000	- Sin Departamento -
 95188012518	Jugo Tampico 250m L	$0	$1.000	$0	N/A	0.000	- Sin Departamento -
 7705326070258	KEKITO BIMBO 50 G	$0	$2.000	$0	N/A	0.000	0
 7702103126054	KELLOGGS FROOLOOPS X25G	$0	$1.600	$0	N/A	0.000	0
 7702103128508	KELLOGGS SONIC 25GR	$0	$1.600	$0	N/A	0.000	- Sin Departamento -
 KINOTEC	KINOTEC	$0	$13.000	$0	N/A	0.000	- Sin Departamento -
 7702024216353	KLIM 25 GR	$0	$1.200	$0	N/A	0.000	- Sin Departamento -
 7702057737450	KOLA GRANULADA X25G	$0	$2.300	$0	N/A	0.000	0
 7702609006508	KOLA ROMAN	$0	$3.000	$0	N/A	0.000	- Sin Departamento -
 7702609001886	KOLA ROMAN	$0	$6.000	$0	N/A	0.000	- Sin Departamento -
 7702029041578	KONSIL SEDA LIQUIDA  	$0	$1.200	$0	N/A	0.000	- Sin Departamento -
 7702029264823	KONZIL CREMA PARA PEINAR	$0	$1.200	$0	N/A	0.000	0
 7702029211773	KONZIL SH CREMA SACHETS X 20ML	$0	$1.200	$0	N/A	0.000	0
 7702029482944	KONZIL SH SEDA SACHETS X 20ML	$0	$1.200	$0	N/A	0.000	0
 7702001048007	KUMIS ALPINA X150G	$0	$2.700	$0	N/A	0.000	0
 7702001047949	KUMIS X 150 GR ALPINA	$0	$2.700	$0	N/A	0.000	0
 7702057737146	Kola Granulada	$0	$2.300	$0	N/A	0.000	- Sin Departamento -
